date,symbol,sector,quantity,entry_price,exit_price,pnl
2025-01-02,RELIANCE,Energy,10,2450.00,2510.00,600.00
2025-01-02,HDFCBANK,Banking,5,1620.00,1595.00,-125.00
2025-01-03,TCS,IT,8,3800.00,3920.00,960.00
2025-01-03,INFY,IT,12,1480.00,1465.00,-180.00
2025-01-06,ICICIBANK,Banking,20,980.00,1010.00,600.00
2025-01-06,SBIN,Banking,15,620.00,608.00,-180.00
2025-01-07,WIPRO,IT,25,450.00,468.00,450.00
2025-01-07,RELIANCE,Energy,10,2510.00,2490.00,-200.00
2025-01-08,TATAMOTORS,Auto,30,780.00,825.00,1350.00
2025-01-08,HDFCBANK,Banking,8,1598.00,1582.00,-128.00
2025-01-09,BAJFINANCE,Finance,3,6800.00,7050.00,750.00
2025-01-09,TCS,IT,5,3920.00,3880.00,-200.00
2025-01-10,NIFTY50,Index,50,23400.00,23520.00,6000.00
2025-01-10,RELIANCE,Energy,10,2495.00,2540.00,450.00
2025-01-13,INFY,IT,15,1470.00,1510.00,600.00
2025-01-13,SBIN,Banking,20,612.00,598.00,-280.00
2025-01-14,HCLTECH,IT,18,1650.00,1695.00,810.00
2025-01-14,ICICIBANK,Banking,10,1008.00,995.00,-130.00
2025-01-15,TATAMOTORS,Auto,25,820.00,858.00,950.00
2025-01-15,BAJFINANCE,Finance,2,7020.00,6950.00,-140.00
